97729,50076
97729,51296
98101,51296
98101,52489
97579,52489
97579,53685
97384,53685
97384,54923
97657,54923
97657,56098
97277,56098
97277,57409
97852,57409
97852,58618
97645,58618
97645,59701
96827,59701
96827,60852
96428,60852
96428,62206
96833,62206
96833,63257
96052,63257
96052,64547
96106,64547
96106,65579
95339,65579
95339,66656
94752,66656
94752,67793
94338,67793
94338,68893
93832,68893
93832,70114
93592,70114
93592,71373
93395,71373
93395,72293
92512,72293
92512,73343
91897,73343
91897,74242
91030,74242
91030,75264
90388,75264
90388,76716
90396,76716
90396,77746
89728,77746
89728,78469
88640,78469
88640,79328
87763,79328
87763,80435
87203,80435
87203,81197
86222,81197
86222,82422
85771,82422
85771,83450
85076,83450
85076,83997
83888,83997
83888,84863
83033,84863
83033,85583
82044,85583
82044,86146
80930,86146
80930,87054
80114,87054
80114,88207
79476,88207
79476,88953
78507,88953
78507,89100
77121,89100
77121,89998
76268,89998
76268,90730
75296,90730
75296,91491
74334,91491
74334,91877
73156,91877
73156,92965
72355,92965
72355,93193
71101,93193
71101,93307
69814,93307
69814,94481
69003,94481
69003,94404
67654,94404
67654,94590
66433,94590
66433,94972
65291,94972
65291,95684
64252,95684
64252,95764
63015,95764
63015,96481
61954,96481
61954,97016
60830,97016
60830,96824
59544,96824
59544,96933
58333,96933
58333,97466
57193,97466
57193,97519
55974,97519
55974,98063
54809,98063
54809,98051
53581,98051
53581,97553
52334,97553
52334,97651
51130,97651
51130,98457
49921,98457
49921,98089
48703,98089
48703,98198
47477,98198
47477,98066
46261,98066
46261,98211
45018,98211
45018,97340
43893,97340
43893,96940
42731,96940
42731,97610
41387,97610
41387,97167
40227,97167
40227,96442
39144,96442
39144,96129
37976,96129
37976,96233
36690,96233
36690,95418
35669,95418
35669,95333
34422,95333
34422,94652
33380,94652
33380,94747
32041,94747
32041,93698
31163,93698
31163,93766
29805,93766
29805,93324
28661,93324
28661,92231
27853,92231
27853,91580
26833,91580
26833,90938
25812,90938
25812,90666
24561,90666
24561,90109
23472,90109
23472,89249
22587,89249
22587,88900
21338,88900
21338,87845
20608,87845
20608,86871
19836,86871
19836,86651
18433,86651
18433,85795
17555,85795
17555,85033
16590,85033
16590,83979
15910,83979
15910,82931
15244,82931
15244,82259
14177,82259
14177,81450
13244,81450
13244,79962
13133,79962
13133,79066
12324,79066
12324,78215
11445,78215
11445,77562
10264,77562
10264,76568
9545,76568
9545,75571
8826,75571
8826,74348
8484,74348
8484,73127
8174,73127
8174,71929
7853,71929
7853,71119
6768,71119
6768,70177
5898,70177
5898,69010
5503,69010
5503,67775
5291,67775
5291,66490
5254,66490
5254,65440
4588,65440
4588,64229
4390,64229
4390,63161
3719,63161
3719,61906
3707,61906
3707,60884
2748,60884
2748,59625
2777,59625
2777,58428
2533,58428
2533,57250
2158,57250
2158,56013
2166,56013
2166,54801
2012,54801
2012,53548
2396,53548
2396,52345
2224,52345
2224,51147
1656,51147
1656,50072
94821,50072
94821,48704
1947,48704
1947,47473
1714,47473
1714,46314
2606,46314
2606,45085
2429,45085
2429,43818
2078,43818
2078,42673
2686,42673
2686,41423
2588,41423
2588,40315
3254,40315
3254,39122
3467,39122
3467,37842
3353,37842
3353,36687
3756,36687
3756,35489
4009,35489
4009,34425
4674,34425
4674,33261
5026,33261
5026,32299
5893,32299
5893,30932
5763,30932
5763,29853
6339,29853
6339,28853
7065,28853
7065,27792
7653,27792
7653,26722
8221,26722
8221,25751
8958,25751
8958,24347
8992,24347
8992,23553
10012,23553
10012,22792
11043,22792
11043,21448
11249,21448
11249,20320
11784,20320
11784,19298
12470,19298
12470,18383
13291,18383
13291,17538
14186,17538
14186,16973
15368,16973
15368,16305
16413,16305
16413,15189
17016,15189
17016,14061
17635,14061
17635,13278
18578,13278
18578,12499
19523,12499
19523,11649
20413,11649
20413,11087
21522,11087
21522,10687
22731,10687
22731,9652
23501,9652
23501,8892
24469,8892
24469,8416
25611,8416
25611,7694
26607,7694
26607,7717
27999,7717
27999,7221
29101,7221
29101,5974
29857,5974
29857,6014
31208,6014
31208,5324
32237,5324
32237,4797
33341,4797
33341,4546
34545,4546
34545,4275
35734,4275
35734,3822
36867,3822
36867,3473
38033,3473
38033,3316
39245,3316
39245,3285
40478,3285
40478,2410
41549,2410
41549,2176
42752,2176
42752,2354
44009,2354
44009,2339
45230,2339
45230,1651
46396,1651
46396,2515
47668,2515
47668,2238
48866,2238
48866,1731
50077,1731
50077,1760
51300,1760
51300,2114
52505,2114
52505,1767
53751,1767
53751,2525
54904,2525
54904,2175
56169,2175
56169,2272
57390,2272
57390,2287
58630,2287
58630,2843
59770,2843
59770,3189
60941,3189
60941,3339
62161,3339
62161,3636
63346,3636
63346,4379
64394,4379
64394,4452
65650,4452
65650,5365
66612,5365
66612,5912
67693,5912
67693,6101
68922,6101
68922,6848
69911,6848
69911,7300
71030,7300
71030,7134
72478,7134
72478,8240
73266,8240
73266,8910
74277,8910
74277,8894
75713,8894
75713,9778
